id	headword	verdict	fix
1170360	陰湿	o	
1170550	陰鬱	o	
1183180	恩赦	o	
1183510	温度	o	
1186260	下敷	o	
1189760	佳作	o	
1190370	加速	o	
1190390	加速度	o	
1191510	夏場	o	
1191840	家業	o	
1191990	家主	o	
1192700	科学	o	
1192750	科学者	o	
1192970	果樹	o	
1192980	果樹園	o	
1193220	歌会	o	
1778740	歌会始	o	
1588110	歌合	o	
1193330	歌心	o	
1607440	歌声	o	
1193410	歌姫	o	
1193450	歌謡	o	
1194470	稼業	o	
1590250	箇所	o	
1196080	過言	o	
1196250	過大	o	
1196440	過保護	o	
1200280	怪獣	o	
1200680	戒告	o	
1200880	改修	o	
1202600	開業	o	
1202610	開業医	o	
1203080	階層	o	
1204580	街角	o	
1204650	街道	o	
1204660	街路	o	
1204680	街路樹	o	
1607110	隔週	o	
1801410	隔世	o	
1206390	隔絶	o	
1208780	葛藤	o	
1209920	乾燥	o	
1210570	刊行	o	
1211680	官公庁	o	
1212030	干潟	o	
1212490	感嘆	o	
1212680	慣行	o	
1212880	敢行	o	
1213710	監修	o	
1215200	鑑賞	o	
1215380	間隔	o	
1215520	間接	o	
1216140	陥没	o	
1225620	疑念	o	
1227320	丘陵	o	
1595510	吸殻	o	
1228460	宮廷	o	
1228540	弓道	o	
1229560	求道	o	
1231670	去就	o	
1776050	巨悪	o	
1231950	巨額	o	
1231960	巨漢	o	
1232060	巨匠	o	
1232090	巨人	o	
1232110	巨星	o	
1232170	巨体	o	
1232180	巨大	o	
1232270	巨費	o	
1630100	巨木	o	
1232330	巨利	o	
1232390	拒絶	o	
1232400	拒絶反応	o	
1234100	競合	o	
1234240	競輪	o	
1236020	境内	o	
1236700	恐喝	o	
1239580	局員	o	
1245620	空手	o	
1246140	空路	o	
1246600	屈辱	o	
1614980	掘削	o	
1630450	繰上	o	
1247290	君主	o	
1247320	君臨	o	
1249330	係争	o	
1249500	傾斜	o	
1252410	警察署	o	
1252470	警鐘	o	
1253760	激励	o	
1253840	傑作	o	
1254410	決闘	o	
1254770	結合	o	
1256150	健脚	o	
1256270	健康保険	o	
1256360	健全	o	
1263160	減額	o	
1263180	減産	o	
1263200	減収	o	
1263210	減少	o	
1263220	減食	o	
1263230	減衰	o	
1263260	減税	o	
1263270	減速	o	
1263280	減退	o	
1263290	減点	o	
1263300	減配	o	
1263320	減俸	o	
1263340	減免	o	
1263350	減量	o	
1265410	古参	o	
1265960	古都	o	
1267790	誇大	o	
1435810	御門	o	
1272970	光合成	o	
1273180	公安	o	
1273210	公営	o	
1273220	公益	o	
1273250	公益法人	o	
1273270	公園	o	
1273280	公演	o	
1273320	公会	o	
1273330	公会堂	o	
1273350	公海	o	
1273370	公開	o	
1273420	公害	o	
1273430	公館	o	
1273440	公器	o	
1273510	公共	o	
1273570	公共団体	o	
1273630	公金	o	
1274420	公道	o	
1274860	公明正大	o	
1276890	口癖	o	
1277000	口論	o	
1277390	坑道	o	
1279020	拘置所	o	
1279390	更生	o	
1279430	更迭	o	
1279560	校正	o	
1279870	江戸	o	
1675110	江戸前	o	
1280150	甲種	o	
1280610	硬直	o	
1280970	耕作	o	
1281170	考慮	o	
1282320	講談	o	
1282860	降参	o	
1283250	高圧	o	
1283270	高位	o	
1283280	高温	o	
1283290	高音	o	
1283300	高価	o	
1283310	高架	o	
1283320	高額	o	
1283330	高官	o	
1283340	高感度	o	
1283360	高機能	o	
1283370	高気圧	o	
1283380	高貴	o	
1283400	高級	o	
1283420	高給	o	
1283430	高空	o	
1283440	高潔	o	
1283450	高血圧	o	
1283460	高血圧症	o	
1283230	高見	o	
1283470	高見	x	의견, 뛰어난 의견
1283720	高速道路	o	
1283860	高等学校	o	
1304870	仕業	o	
1589720	飼主	o	
1335510	柔和	o	
1579940	重荷	o	
1348050	小言	o	
1368790	人畜	o	
1402530	走幅跳	o	
1407900	多大	o	
1428200	懲戒	o	
1594620	締付	o	
1477470	発作	o	
1490350	病状	o	
1498740	武装	o	
1518230	邦楽	o	
1610610	埋立	o	
1533220	免職	o	
1545160	幼児	o	
1561030	老朽	o	
1561610	録画	o	
