verdict	originMatch	band	headword	reading	glossEn	ko_word	ko_origin	ko_definition	id
	Y	0	家計	かけい	household economy, family finances	가계(8)	家計	한집안 살림의 수입과 지출의 상태.	1191910
	Y	0	加工	かこう	manufacturing, processing, treatment, machining	가공(1)	加工	원자재나 반제품을 인공적으로 처리하여 새로운 제품을 만들거나 제품의 질을 높임.	1190120
	Y	0	架空	かくう	fictitious, imaginary, fanciful, fabricated	가공(4)	架空	어떤 시설물을 공중에 가설함.	1193130
	Y	0	家具	かぐ	furniture	가구(4)	家具	집안 살림에 쓰는 기구. 주로 장롱·책장·탁자 따위와 같이 비교적 큰 제품을 이른다.	1191870
	Y	0	歌劇	かげき	opera	가극(3)	歌劇	음악을 중심으로 한 종합 무대 예술. 대사는 독창, 중창, 합창 따위로 부르며, 서곡이나 간주곡 따위의 기악곡도 덧붙인다.	1193260
	Y	0	可能	かのう	possible, potential, practicable, feasible	가능(0)	可能	할 수 있거나 될 수 있음.	1191060
	Y	0	可能性	かのうせい	possibility, chance, likelihood, probability	가능-성(0)	可能性	앞으로 실현될 수 있는 성질이나 정도.	1191080
	Y	0	家宅	かたく	domicile, premises	가택(1)	家宅	사람이 살고 있는 집. 또는 살림하는 집.	1192210
	Y	0	街頭	がいとう	(on the) street	가두(2)	街頭	도시의 길거리.	1204640
	Y	0	加盟	かめい	joining (an association, agreement, etc.), participation, affiliation, accession	가맹(0)	加盟	동맹이나 연맹, 단체에 가입함.	1190580
	Y	0	家事	かじ	housework, domestic chores, family affairs, household matters	가사(5)	家事	살림살이에 관한 일.	1191980
	Y	0	歌詞	かし	song lyrics, words of a song, libretto	가사(9)	歌詞	가곡, 가요, 오페라 따위로 불릴 것을 전제로 하여 쓰인 글.	1193280
	Y	0	加速	かそく	acceleration, speeding up	가속(1)	加速	점점 속도를 더함. 또는 그 속도.	1190370
	Y	0	歌手	かしゅ	singer	가수(11)	歌手	노래 부르는 것이 직업인 사람.	1193290
	Y	0	歌人	かじん	poet (of tanka poems)	가인(5)	歌人	노래를 잘 부르거나 잘 짓는 사람.	1193340
	Y	0	家賃	やちん	rent	가임(2)	家賃	남의 집을 빌려 사는 대가로 내는 돈.	1192270
	Y	0	加入	かにゅう	joining (a club, organization, etc.), becoming a member, entry, admission	가입(0)	加入	조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 따위를 신청함.	1190430
	Y	0	家電	かでん	household (electrical) appliances, home appliances, consumer electronics	가전(5)	家電	가정에서 사용하는 세탁기, 냉장고, 텔레비전 따위의 전기 기기 제품.	1192380
	Y	0	家庭	かてい	home, household, family, hearth	가정(6)	家庭	한 가족이 생활하는 집.	1192280
	Y	0	家族	かぞく	family	가족(0)	家族	주로 부부를 중심으로 한, 친족 관계에 있는 사람들의 집단. 또는 그 구성원. 혼인, 혈연, 입양 등으로 이루어진다.	1192150
	Y	0	歌集	かしゅう	collection of waka poems, anthology, songbook	가집(5)	歌集	시가를 모아 엮은 책.	1193300
