verdict	cat	fix	tier	flags	manual	headword	reading	glossEn	llm_ko	stdict_def	manual_reason	category	classSource	band	id
o			1	cat-mismatch	Y(2)	歌人	かじん	poet (of tanka poems)	일본의 단가 시인	노래를 잘 부르거나 잘 짓는 사람.		1	llm	0	1193340
o			1	cat-mismatch	Y(2)	角度	かくど	angle	각도	생각의 방향이나 관점.		1	llm	0	1206190
o			1	cat-mismatch	Y(2)	家族計画	かぞくけいかく	family planning	행복한 가정생활을 위해 부부의 생활 능력에 따라 자녀의 수나 출산의 간격을 계획적으로 조절하는 일.	행복한 가정생활을 위해 부부의 생활 능력에 따라 자녀의 수나 출산의 간격을 계획적으로 조절하는 일.		1	llm	1	1192160
o			1	cat-mismatch	Y(2)	封筒	ふうとう	envelope	편지나 서류 따위를 넣기 위하여 종이로 만든 주머니.	편지나 서류 따위를 넣기 위하여 종이로 만든 주머니.		1	llm	1	1499690
o			1	cat-mismatch	Y(1)	決別	けつべつ	separation; farewell; parting	기약 없는 이별을 함. 또는 그런 이별.	기약 없는 이별을 함. 또는 그런 이별.		2	llm	1	1254420
o			1	cat-mismatch	Y(1)	自在	じざい	being able to do as one pleases; doing at will; pothook	자유로움; 제약 없음	저절로 있음.		2	llm	1	1317750
o			1	cat-mismatch	Y(3)	低調	ていちょう	inactive; slow; sluggish; slack	저조함; 침체	가락이 낮음. 또는 그런 가락.		2	llm	1	1434610
o			1	cat-mismatch	Y(1)	趣向	しゅこう	plan; idea; design; plot	취향; 기미	하고 싶은 마음이 생기는 방향. 또는 그런 경향.		2	llm	1	1328970
o			1	cat-mismatch	Y(1)	刻々	こっこく	moment by moment; hour by hour	매 시각. 또는 낱낱의 시각.	매 시각. 또는 낱낱의 시각.		2	default	2	1285830
o			1	cat-mismatch	Y(1)	共鳴	きょうめい	resonance; sympathy (with a view, idea, etc.)	남의 사상이나 감정, 행동 따위에 공감하여 자기도 그와 같이 따르려 함.	남의 사상이나 감정, 행동 따위에 공감하여 자기도 그와 같이 따르려 함.		2	default	2	1235190
o			1	cat-mismatch	Y(1)	空砲	くうほう	empty gun; gun loaded with blanks; firing a blank	실탄을 넣지 않고 소리만 나게 하는 총질.	실탄을 넣지 않고 소리만 나게 하는 총질.		2	default	2	2582370
o			1	cat-mismatch	Y(1)	同病	どうびょう	the same sickness	같은 병	같은 병.		2	default	2	1453310
o			1	cat-mismatch	Y(1)	無論	むろん	of course; certainly; naturally	말할 것도 없음.	말할 것도 없음.		2	llm	2	1531080
o			1	cat-mismatch	Y(1)	洋食	ようしょく	Western food; Western dish; Western cooking; Japanized Western cuisine	서양식 음식이나 식사.	서양식 음식이나 식사.		2	default	2	1546000
