verdict	tier	llm	originMatch	band	headword	reading	glossEn	ko_word	ko_origin	ko_definition	llm_reason	id
?	1	1	n	0	減税	げんぜい	tax reduction	감세(1)	減稅	세금의 액수를 줄이거나 세율을 낮추는 일.	일본어의 '減稅'와 한국어의 '감세'는 모두 세금을 줄이는 동일한 개념을 나타내며, 한국 표준국어대사전 표제어의 원어 한자 '減稅'가 일본어 표기와 일치하므로 자형 차이만 있는 같은 단어입니다.	1263260
?	1	1	n	0	江戸	えど	Edo (shogunate capital; former name of Tokyo), Yedo	강호(1)	江戶	→ 에도.	강호는 일본어의 에도 (江戶) 와 동일한 단어이며, 한국 표준국어대사전은 일본어 표기인 '江戶'를 원어로 명시하고 있어 한자 자형 차이만 존재한다.	1279870
?	1	1	n	0	個々	ここ	individual, one by one, separate, each	개개(0)	箇箇	여럿 가운데의 하나하나.	개개는 일본어의 'ここの'를 표기할 때 쓰는 표준 한자 '箇箇'의 현대적 단순화 형태이며 뜻과 발음이 동일하므로 같은 단어입니다.	1593190
?	1	1	n	0	決着	けっちゃく	conclusion, decision, end, settlement	결착(0)	決着/結着	완전하게 결말이 지어짐.	결착은 일본어의 'けっちゃく'과 동일한 단어이며, 한국 표준국어대사전에서 표기된 원어 한자 '結着'은 일본어 정자체 (決着) 와 부수 단순화 차이로 인한 자형만 다른 동일어입니다.	1592630
?	1	1	n	0	骨格	こっかく	skeleton, skeletal structure, build, frame	골격(0)	骨格/骨骼	동물의 체형(體型)을 이루고 몸을 지탱하는 뼈.	일본어의 'こっかく'은 한국 표준국어대사전의 '골격'과 동일한 단어이며, 일본어 표기인 '骨格'과 사전 표제어 '骨骼'은 한자 부수 단순화 차이로 실제 의미는 동일합니다.	1288570
?	1	1	n	0	記念日	きねんび	memorial day, commemoration day, anniversary	기념-일(0)	紀念日	축하하거나 기릴 만한 일이 있을 때, 해마다 그 일이 있었던 날을 기억하는 날.	일본어의 신자체 표기인 '記念日'과 한국 표준국어대사전의 정자 표기인 '紀念日'은 같은 단어이며 부수 단순화 차이로 인해 자형만 다른 관계입니다.	1223380
?	1	1	n	0	南米	なんべい	South America	남미(0)	南美	아메리카 대륙의 남부.	일본어의 '南米'과 한국어의 '남미'는 모두 '아메리카 대륙의 남부'를 뜻하는 동일한 개념으로, 일본어 신자체 (南) 와 한국 정자 (南) 의 자형 차이뿐이며 뜻은 동일합니다.	1460570
?	1	1	n	0	納税	のうぜい	payment of taxes	납세(0)	納稅	세금을 냄.	일본어의 '納税'과 한국어의 '납세'는 모두 세금을 내는 동일한 개념을 지칭하며, 한자 표기 차이 (正字 vs 신자체) 와 음운 변화에 의한 것일 뿐 의미와 본질은 같습니다.	1470060
?	1	1	n	0	麻薬	まやく	narcotic, drug, dope	마약(0)	痲藥	마취 작용을 하며, 습관성이 있어서 장복(長服)하면 중독 증상을 나타내는 물질을 통틀어 이르는 말. 아편·모르핀·코카인·헤로인·코데인·페티딘·메타돈·엘에스디(LSD) 따위가 있으며, 의료에 사용하지만 남용하면 심각한 부작용이 나타나므로 취급 및 사용을 법률로 규제하고 있다.	일본어의 '麻薬'과 한국 사전의 '痲藥'은 모두 마약이라는 동일한 개념을 지칭하며, 이는 일본에서 중국식 한자를 사용하던 시기의 부수 단순화 (신자체) 차이로 인해 표기만 다른 동일어입니다.	1524440
?	1	1	n	0	反乱	はんらん	insurrection, mutiny, rebellion, revolt	반란(1)	叛亂/反亂	정부나 지도자 따위에 반대하여 내란을 일으킴.	일본어의 '反乱'과 한국어의 '반란'은 모두 내란을 뜻하는 동일한 개념으로, 일본어 표기인 '反'이 한국 표준국어대사전에서 통용되는 '叛'으로 표기된 차이일 뿐 의미와 발음은 일치합니다.	1481090
