verdict	tier	llm	originMatch	band	headword	reading	glossEn	ko_word	ko_origin	ko_definition	llm_reason	id
2	2	2	Y	0	架空	かくう	fictitious, imaginary, fanciful, fabricated	가공(4)	架空	어떤 시설물을 공중에 가설함.	일본어의 '架空'은 '가상의'라는 추상적 의미를 지닌 반면, 한국 표준국어대사전의 표제어는 '공중에 가설하다'라는 구체적인 물리적 행위를 뜻하므로 핵심 의미가 갈린다.	1193130
1	2	2	Y	0	簡単	かんたん	simple, easy, uncomplicated, brief	간단(2)	簡單	‘간단하다’의 어근.	일본어의 '簡単'은 '쉬운'이라는 형용사적 의미를 가지지만, 한국어 표준국어대사전의 표제어 '간단 (2)'은 명사형 어근으로 정의되어 있어 핵심 쓰임과 품사가 다릅니다.	1214330
1	2	2	Y	0	干渉	かんしょう	interference, intervention, meddling	간섭(0)	干涉	직접 관계가 없는 남의 일에 부당하게 참견함.	일본어의 '간섭'은 중립적 개입을 포함하는 반면, 한국 표준국어대사전의 '간섭 (干涉)'은 부당하게 참견한다는 부정적 뉘앙스가 핵심 정의에 명시되어 있어 뜻이 갈린다.	1212050
1	2	2	Y	0	減収	げんしゅう	fall, decrease (in income)	감수(7)	減收	거두어들이는 것이 줆.	일본어의 '減収'은 소득이 줄어드는 경제 용어이지만, 한국 표준국어대사전의 '감수'는 곡식 등을 거두어들임이라는 농업적/일반적 의미를 지니며 뜻이 갈린다.	1263200
1	2	2	Y	0	結果	けっか	result, consequence, outcome, effect	결과(2)	結果	열매를 맺음. 또는 그 열매.	일본어의 '결과'는 사건이나 행동에 따른 최종적인 산출물 (outcome) 을 의미하는 반면, 한국 표준국어대사전의 '결과 (2)'는 식물에서 맺히는 열매라는 본래 뜻과 그 확장된 개념을 지칭하여 핵심 의미가 갈린다.	1254690
3	2	2	Y	0	結構	けっこう	splendid, nice, wonderful, delightful	결구(4)	結構	일정한 형태로 얼개를 만듦. 또는 그렇게 만든 물건.	일본어의 '結構'는 '괜찮다/좋다'라는 관용적 의미로 쓰이는 반면, 한국 표준국어대사전의 '결구'는 물리적 구조나 얼개를 만드는 본래 의미를 지닌 동형이의어입니다.	1254760
1	2	2	Y	0	決済	けっさい	settlement (of an account), liquidation of debts, payment	결제(1)	決濟	일을 처리하여 끝을 냄.	결제는 일본어에서 '채무 변제'라는 구체적인 금융 행위를 뜻하는 반면, 한국 표준국어대사전의 '결제'는 일을 처리하여 끝내는 일반적인 동사적 의미를 지니며 핵심 쓰임이 갈라져 있다.	1254260
2	2	2	Y	0	京都	きょうと	Kyoto (city, prefecture)	경도(1)	京都	한 나라의 중앙 정부가 있는 곳.	일본어의 '京都'는 특정 도시 이름으로 고유명사화되어 쓰이는 반면, 한국 표준국어대사전의 '경도'는 중앙 정부가 있는 곳이라는 일반적 정의를 가진 명사이므로 핵심 뜻과 쓰임이 갈랐다.	1652350
2	2	2	Y	0	警視庁	けいしちょう	Metropolitan Police Department (Tokyo)	경시-청(0)	警視廳	대한 제국 때에, 한성부와 경기도의 경찰 및 소방 업무를 맡아보던 관청. 융희 원년(1907)에 이전의 경무청을 고친 것으로 융희 4년(1910)에 일제에 강점되기 전까지 두었다.	일본어의 '경시청'은 현재 도쿄도 경찰청을 지칭하는 반면, 한국 사전의 '경시청'은 일제 강점기 이전 대한제국의 관청을 의미하여 시대와 주체가 달라 동형이의에 해당합니다.	1252450
2	2	2	Y	0	警察	けいさつ	police, police officer, police station, self-appointed enforcer (of a rule, standard, etc.)	경찰(4)	警察	경계하여 살핌.	일본어의 '警察'은 조직이나 직책을 지칭하는 명사 (경찰서, 경찰관) 로 쓰이는 반면, 한국 표준국어대사전의 '경찰'은 '경계하여 살핌'이라는 동사적 행위나 개념을 뜻하므로 핵심 의미가 갈린다.	1252390
1	2	2	Y	0	景観	けいかん	scenery	경관(4)	景觀	산이나 들, 강, 바다 따위의 자연이나 지역의 풍경.	일본어의 '景観'은 시각적 풍경 (scenery) 을 뜻하는 반면, 한국 표준국어대사전의 '경관 (4)'은 사회·경제적 관점에서의 '관찰 대상이나 현상'이라는 더 넓은 추상적 의미를 지니므로 핵심 의미가 갈린다.	1250820
2	2	2	Y	0	計画	けいかく	plan, project, schedule, scheme	계획(2)	計畫	관학 유생의 평소 성적을 따져서 시험의 등급을 정하던 일.	일본어의 '계획'은 사전적 의미인 '일정이나 방법을 미리 세우는 것'을 뜻하지만, 한국 표준국어대사전의 해당 표제어는 관학 유생의 성적 등급 정하기라는 특수한 역사적 용례만을 지칭하므로 두 단어의 핵심 의미가 다릅니다.	1252090
2	2	2	Y	0	古典	こてん	classic (work, esp. book), the classics	고전(2)	古典	옛날의 의식(儀式)이나 법식(法式).	일본어의 '古典'은 문학/예술 작품의 고전이라는 뜻이지만, 한국 표준국어대사전의 해당 표제어는 의식이나 법식이라는 전혀 다른 뜻을 지닌 동형이의어입니다.	1265860
1	2	2	Y	0	空間	くうかん	space, room, airspace	공간(5)	空間	아무것도 없는 빈 곳.	일본어의 '공간'은 물리적 공간이나 공중을 뜻하는 반면, 한국 표준국어대사전의 '공간 (5)'은 철저히 비어있는 빈 곳을 지칭하는 고유한 의미로 쓰임이 갈린다.	1245450
2	2	2	Y	0	工夫	くふう	devising (a way), contriving, inventing, thinking up	공부(1)	工夫	학문이나 기술을 배우고 익힘.	일본어의 'くふう'는 '생각해 내기/발명'을 뜻하는 반면 한국 표준국어대사전의 '공부 (1)'는 '학문이나 기술을 배우고 익힘'을 뜻하므로 핵심 의미가 다릅니다.	1278220
2	2	2	Y	0	公社	こうしゃ	public corporation	공사(7)	公社	국가적 사업을 수행하기 위하여 설립된 공공 기업체의 하나. 정부가 전액 출자하는 공법인으로서, 정부의 감독을 받으며 공과금이 면제된다. 한국 수자원 공사, 한국 토지 주택 공사, 한국 관광 공사 따위가 있다.	일본어의 '공사'는 일반적 공공기관을 지칭하는 반면, 한국 표준국어대사전의 '공사 (公社)'는 정부 전액 출자 및 공과금 면제 등 특수한 법적·재정적 조건을 갖춘 특정 유형의 공법인을 의미하여 핵심 정의가 다릅니다.	1273860
2	2	2	Y	0	共産	きょうさん	communism, Communist Party	공산(5)	共産	재산을 공동으로 관리하고 소유함.	일본어의 '共産'은 정치 체제나 정당 (공산주의/공산당) 을 지칭하는 반면, 한국 표준국어대사전의 '공산'은 재산을 공동으로 소유·관리하는 일반적인 경제 행위를 뜻하므로 핵심 의미가 갈린다.	1234430
1	2	2	Y	0	工作	こうさく	handicraft, work, construction, manufacturing	공작(1)	工作	물건을 만듦.	일본어의 'こうさく'는 제조나 건설을 뜻하는 반면, 한국 표준국어대사전의 '공작 (1)'은 물건을 만드는 행위 자체를 지칭하며, 현대 한국어에서는 주로 '공작물'이나 '공작가'처럼 명사형으로 쓰이거나 일본어식 표현과 구별되는 독자적인 용례를 가지므로 핵심 쓰임이 갈린다.	1278100
1	2	2	Y	0	公団	こうだん	public corporation, public housing	공단(2)	公團	국가적인 차원의 일정 사업을 수행하기 위하여 설립된 특수 법인의 하나. 한국 에너지 공단, 국민 건강 보험 공단 따위가 있다.	일본어의 '공단'은 공공기관을 지칭하는 일반 명사라면, 한국 표준국어대사전의 '공단 (2)'은 특정 목적의 특수 법인이라는 정의적 의미를 가진 전문 용어로 핵심 쓰임이 다릅니다.	1274280
2	2	2	Y	0	空気	くうき	air, atmosphere, mood, situation	공기(5)	空氣	지구를 둘러싼 대기의 하층부를 구성하는 무색무취의 투명한 기체. 산소와 질소가 약 1 대 4의 비율로 혼합된 것을 주성분으로 하며, 그 밖에 소량의 아르곤·헬륨 따위의 불활성 가스와 이산화 탄소가 포함되어 있다. 동식물의 호흡, 소리의 전파 따위에 필수적이다.	일본어의 '공기'는 물리적 대기뿐만 아니라 분위기나 상황이라는 추상적 뉘앙스를 포함하는 반면, 한국 표준국어대사전의 정의는 산소와 질소가 주성분인 물리적 기체로서의 의미에 집중되어 있어 핵심 뜻이 갈린다.	1245470
2	2	2	Y	0	共済	きょうさい	mutual aid	공제(3)	共濟	힘을 합하여 서로 도움.	일본어의 '共済'는 보험이나 상해 보상 등 금전적 보상을 뜻하는 반면, 한국 표준국어대사전의 '공제 (共濟)'는 도덕적 차원의 '서로 돕다'라는 뜻을 지닌 동형이의어입니다.	1234410
1	2	2	Y	0	貢献	こうけん	contribution (furthering a goal or cause), services (to a cause), paying tribute, tribute	공헌(2)	貢獻	힘을 써 이바지함.	일본어의 '공헌'은 주로 '기부나 헌신'을 뜻하는 반면, 한국어의 '공헌'은 '힘을 써 이바지함'이라는 행위 자체를 지칭하므로 핵심 의미가 갈린다.	1282410
1	2	2	Y	0	告発	こくはつ	indictment, prosecution, complaint	고발(2)	告發	세상에 잘 알려지지 않은 잘못이나 비리 따위를 드러내어 알림.	일본어의 '고발'은 형사적 고소·고발을 의미하는 반면, 한국 표준국어대사전의 '고발 (2)'은 비리나 잘못을 공개적으로 알리는 일반적 행위를 뜻하여 핵심 의미가 갈린다.	1286070
1	2	2	Y	0	過激	かげき	extreme (measure, idea, etc.), radical, violent (language), strenuous (exercise, work, etc.)	과격(2)	過激	정도가 지나치게 격렬함.	일본어의 '과격'은 주로 극단적이고 폭력적인 태도를 의미하는 반면, 한국어의 '과격'은 단순히 정도가 지나치게 격렬하다는 중립적 상태를 지칭하여 핵심 의미가 갈린다.	1196060
1	2	2	Y	0	課題	かだい	subject, theme, issue, matter	과제(4)	課題	처리하거나 해결해야 할 문제.	일본어의 '課題'는 주로 논의 대상이나 주제를 뜻하는 반면, 한국 표준국어대사전의 '과제'는 반드시 해결해야 할 문제나 숙제를 지칭하여 핵심 의미가 갈린다.	1195820
